City             ,Country                          ,Latitude    ,Longitude   ,Timezone
Shanghai         ,China                            ,31.2323437  ,121.4691024 ,Asia/Shanghai
Beijing          ,China                            ,39.9057136  ,116.3912972 ,Asia/Shanghai
Dhaka            ,Bangladesh                       ,23.7644025  ,90.389015   ,Asia/Dhaka
Chengdu          ,China                            ,30.6598628  ,104.0633717 ,Asia/Shanghai
Delhi            ,India                            ,28.6517178  ,77.2219388  ,Asia/Kolkata
Istanbul         ,Turkey                           ,41.0091982  ,28.9662187  ,Europe/Istanbul
Karachi          ,Pakistan                         ,24.8546842  ,67.0207055  ,Asia/Karachi
Guangzhou        ,China                            ,23.1301964  ,113.2592945 ,Asia/Shanghai
Tianjin          ,China                            ,39.1235635  ,117.1980785 ,Asia/Shanghai
Tokyo            ,Japan                            ,35.6828387  ,139.7594549 ,Asia/Tokyo
Moscow           ,Russia                           ,55.755826   ,37.6173     ,Europe/Moscow
Shenzhen         ,China                            ,22.543096   ,114.057865  ,Asia/Shanghai
Mumbai           ,India                            ,19.0759837  ,72.8776559  ,Asia/Kolkata
São Paulo        ,Brazil                           ,-23.5505203 ,-46.633308  ,America/Sao_Paulo
Kinshasa         ,Democratic Republic of the Congo ,-4.4419311  ,15.2662931  ,Africa/Kinshasa
Lagos            ,Nigeria                          ,6.5243793   ,3.3792057   ,Africa/Lagos
Jakarta          ,Indonesia                        ,-6.2087634  ,106.845599  ,Asia/Jakarta
Lahore           ,Pakistan                         ,31.5497     ,74.3436     ,Asia/Karachi
Seoul            ,South Korea                      ,37.5665     ,126.978     ,Asia/Seoul
Wuhan            ,China                            ,30.592849   ,114.305539  ,Asia/Shanghai
Cairo            ,Egypt                            ,30.0444196  ,31.2357116  ,Africa/Cairo
Bangkok          ,Thailand                         ,13.7563     ,100.5018    ,Asia/Bangkok
Chongqing        ,China                            ,29.56301    ,106.551556  ,Asia/Shanghai
Lima             ,Peru                             ,-12.046374  ,77.042793   ,America/Lima
Bogotá           ,Colombia                         ,4.711       ,74.0721     ,America/Bogota
London           ,United Kingdom                   ,51.5074     ,-0.1278     ,Europe/London
New York City    ,United States                    ,40.7128     ,-74.006     ,America/New_York
